id,component,manufacturer,part_number,url,dominant_class,dominant_prose,secondary_class,dim_mm,max_dim_mm,triangles,watertight,non_manifold_edges
obj20,DIN-rail enclosure,RS PRO,2383980,https://www.traceparts.com/en/product/rs-group-rs-pro-din-rail-enclosure-enclosure-type-abs-din-rail-enclosure?CatalogPath=TRACEPARTS%3ATP09003005003&Product=90-27102023-057210&PartNumber=2383980,B1,Upward-facing open pocket,A1,108.0 x 58.0 x 36.0,108.0,1412,yes,0
obj21,"DIN-rail enclosure, 36 mm",CAMDENBOSS,CNMB/2/2,https://www.traceparts.com/en/product/rs-group-din-rail-enclosure36mm?CatalogPath=TRACEPARTS%3ATP09003005003&Product=90-11062024-048886&PartNumber=CNMB%2F2%2F2,A1,Prismatic body,"D1, C2",91.5 x 65.0 x 213.8,213.8,33118,yes,0
obj22,Twelve-port M8 junction box,Fuyansheng Electronics (Fujian) Co. LTD,23NCT1,https://www.traceparts.com/en/product/fuyansheng-electronics-fujian-co-ltd-m8-junction-box-npn-12port-split-type-23nct1?CatalogPath=TRACEPARTS%3ATP09003003&Product=90-15052023-038971&PartNumber=23NCT1,B3,Top-face hole pattern,"D2, C2",125.9 x 45.4 x 18.3,125.9,152746,yes,0
obj23,Gas spring,KOBA,KGL28-100,https://www.traceparts.com/en/product/koba-gas-spring-kgl28100?CatalogPath=TRACEPARTS%3ATP01011001002001&Product=90-01042022-052894&PartNumber=KGL28-100,A2,Axisymmetric body,A3,28.0 x 28.0 x 380.0,380.0,4082,yes,0
obj24,Hydraulic manifold,Motion,HM031P024S,https://www.traceparts.com/en/product/motion-hm031p024s-d03-hydraulic-manifold-ducti?CatalogPath=MOTION_1402216426%3AROOT033002&Product=27-05432309-621739&PartNumber=HM031P024S,D2,Lateral port,"A1, B2",76.2 x 76.2 x 155.6,155.6,8024,yes,0
obj25,Valve block,Motion,AD03PB042S,https://www.traceparts.com/en/product/motion-ad03pb042s-valve-block?CatalogPath=MOTION_1402216426%3AROOT017&Product=90-02072021-033721&PartNumber=AD03PB042S,D2,Lateral port,"B3, A1",273.0 x 101.6 x 76.2,273.0,25662,yes,0
obj26,Flywheel coupling,SIT SpA,"48-6-1/2""",https://www.traceparts.com/en/product/sit-spa-gd-fl-flywheel?CatalogPath=TRACEPARTS%3ATP01003006002&Product=32-13032007-124443&PartNumber=48-6-1%2F2%22,A2,Axisymmetric body,"B3, C2",50.0 x 215.9 x 215.6,215.9,6774,yes,0
obj27,V-belt pulley,Norelem Normelemente GmbH & Co. KG,22070-33001,https://www.traceparts.com/en/product/norelem-vbelt-pulley?CatalogPath=NORELEM%3A22326&Product=27-05582250-920022&PartNumber=22070-33001,A2,Axisymmetric body,B3,32.0 x 306.1 x 307.0,307.0,2302,yes,0
obj28,Conveyor roller,Rollex Förderelemente GmbH & Co. KG,600/300ZZ-50KBA10IGM6x10EL610mm,https://www.traceparts.com/en/product/rollex-forderelemente-gmbh-co-kg-conveyor-roller-600-thermoplastic-synthetic-material-steel-housing-with-precision-ball-bearing-with-diameter-50mm-and-maximum-load-capacity-of-100n-600300zz50kba10igm6x10el610mm?CatalogPath=TRACEPARTS%3ATP04002002002&Product=33-10062022-059828&PartNumber=600%2F300ZZ-50KBA10IGM6x10EL610mm,A2,Axisymmetric body,A3,610.0 x 92.9 x 92.9,610.0,1344,yes,0
obj29,Telescopic slide rail,"ZKH Industrial Supply Co., Ltd.",AHH15012,https://www.traceparts.com/en/product/zkh-industrial-supply-co-ltd-telescopic-slide-rail-heavy-load-three-step-slide-ahh15012?CatalogPath=TRACEPARTS%3ATP01004003006&Product=80-09122021-082957&PartNumber=AHH15012,A1,Prismatic body,"D1, B3",12.7 x 51.4 x 305.0,305.0,6568,yes,0
obj30,Lifting turnbuckle,Haklift,VRH10,https://www.traceparts.com/en/product/haklift-lift-graded-turnbuckles-m10?CatalogPath=HAKLIFT_1321368382%3AHAKLIFT.140&Product=90-20012022-041835&PartNumber=VRH10,A3,Slender protrusion,"D1, A2",45.0 x 19.6 x 317.0,317.0,62154,yes,0
